Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_RHP_doc,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_avoid,IPO_Member_neutral,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_gmp_link,day1_date,day1_price,day2_date,day2_price,day3_date,day3_price,day4_date,day4_price,day5_date,day5_price,day6_date,day6_price,day7_date,day7_price,day8_date,day8_price,day9_date,day9_price,day10_date,day10_price,day11_date,day11_price,day12_date,day12_price,day13_date,day13_price,day14_date,day14_price,day15_date,day15_price,day16_date,day16_price,day17_date,day17_price,screener_link,company_long_name,company_website,bse_link,bse_symbol,nse_link,nse_symbol,IPO_listing_price
Gujarat Kidney & Super Speciality Limited,https://www.chittorgarh.com/ipo/gujarat-kidney-and-super-speciality-ipo/2289/,EQ,2025-12-22,2025-12-24,2025-12-30,2,114.0,128,250.8,https://www.sebi.gov.in/filings/public-issues/apr-2025/gujarat-kidney-and-super-speciality-limited_93248.html,0,0,1,1,0,0,,,,,,,,,,https://www.investorgain.com/chr-gmp/gujarat-kidney-and-super-speciality-ipo/2289,2025-12-15,0.0,2025-12-16,0.0,2025-12-17,0.0,2025-12-18,10.0,2025-12-19,7.0,2025-12-20,7.0,,,,,,,,,,,,,,,,,,,,,,,https://www.screener.in/company/id/1285833,Gujarat Kidney & Super Speciality Ltd,,,,,,
KSH International Limited,https://www.chittorgarh.com/ipo/ksh-international-ipo/2454/,EQ,2025-12-16,2025-12-18,2025-12-23,5,384.0,39,710.0,https://www.bseindia.com/corporates/download/306344/IPO%20Prior/DRHP_20250523194231.pdf,10,3,0,0,0,0,0.0,0.07,0.29,0.0,0.13,0.5,1.12,0.44,0.91,https://www.investorgain.com/chr-gmp/ksh-international-ipo/2454,2025-12-11,0.0,2025-12-12,0.0,2025-12-13,0.0,2025-12-14,0.0,2025-12-15,0.0,2025-12-16,6.0,2025-12-17,0.0,2025-12-18,0.0,2025-12-19,0.0,2025-12-20,0.0,,,,,,,,,,,,,,,https://www.screener.in/company/id/1285825,KSH International Ltd,,,,,,
ICICI Prudential Asset Management Company Limited (ICICI Prudential AMC),https://www.chittorgarh.com/ipo/icici-prudential-amc-ipo/2525/,EQ,2025-12-12,2025-12-16,2025-12-19,1,2165.0,6,10602.65,https://www.sebi.gov.in/filings/public-issues/jul-2025/icici-prudential-asset-management-company-limited_95357.html,25,2,0,6,1,0,1.97,0.38,0.21,2.91,3.36,0.83,123.87,22.04,2.53,https://www.investorgain.com/chr-gmp/icici-prudential-amc-ipo/2525,2025-12-05,0.0,2025-12-06,185.0,2025-12-07,130.0,2025-12-08,85.0,2025-12-09,124.0,2025-12-10,119.0,2025-12-11,150.0,2025-12-12,255.0,2025-12-13,280.0,2025-12-14,292.0,2025-12-15,302.0,2025-12-16,344.0,2025-12-17,370.0,2025-12-18,520.0,2025-12-19,460.0,,,,,https://www.screener.in/company/ICICIAMC,ICICI Prudential Asset Management Co Ltd,,https://www.bseindia.com/stock-share-price/icici-prudential-asset-management-co-ltd/ICICIAMC/544658/,ICICIAMC,https://www.nseindia.com/get-quotes/equity?symbol=ICICIAMC,ICICIAMC,2606.2
Park Medi World Limited,https://www.chittorgarh.com/ipo/park-medi-world-ipo/2297/,EQ,2025-12-10,2025-12-12,2025-12-17,2,162.0,92,920.0,https://www.sebi.gov.in/filings/public-issues/apr-2025/park-medi-world-limited_93300.html,10,3,0,1,0,0,0.28,0.7,0.67,0.34,1.46,1.27,12.07,15.93,3.32,https://www.investorgain.com/chr-gmp/park-medi-world-ipo/2297,2025-12-03,0.0,2025-12-04,0.0,2025-12-05,30.0,2025-12-06,33.0,2025-12-07,33.0,2025-12-08,29.0,2025-12-09,22.0,2025-12-10,14.0,2025-12-11,8.5,2025-12-12,7.0,2025-12-13,7.0,2025-12-14,6.5,2025-12-15,3.5,2025-12-16,5.0,2025-12-17,0.0,,,,,https://www.screener.in/company/PARKHOSPS/consolidated,Park Medi World Ltd,,https://www.bseindia.com/stock-share-price/park-medi-world-ltd/PARKHOSPS/544645/,PARKHOSPS,https://www.nseindia.com/get-quotes/equity?symbol=PARKHOSPS,PARKHOSPS,155.6
Nephrocare Health Services Limited,https://www.chittorgarh.com/ipo/nephrocare-health-ipo/2548/,EQ,2025-12-10,2025-12-12,2025-12-17,2,460.0,32,871.05,https://www.sebi.gov.in/filings/public-issues/aug-2025/nephrocare-health-services-limited_96127.html,9,0,0,0,0,0,0.0,0.1,0.21,0.29,0.23,0.47,26.82,24.77,2.36,https://www.investorgain.com/chr-gmp/nephrocare-health-ipo/2548,2025-12-03,0.0,2025-12-04,0.0,2025-12-05,0.0,2025-12-06,0.0,2025-12-07,0.0,2025-12-08,0.0,2025-12-09,0.0,2025-12-10,20.0,2025-12-11,11.5,2025-12-12,33.0,2025-12-13,33.0,2025-12-14,34.5,2025-12-15,37.0,2025-12-16,37.0,2025-12-17,40.0,,,,,https://www.screener.in/company/NEPHROPLUS/consolidated,Nephrocare Health Services Ltd,,https://www.bseindia.com/stock-share-price/nephrocare-health-services-ltd/NEPHROPLUS/544647/,NEPHROPLUS,https://www.nseindia.com/get-quotes/equity?symbol=NEPHROPLUS,NEPHROPLUS,491.7
Corona Remedies Limited,https://www.chittorgarh.com/ipo/corona-remedies-ipo/2433/,EQ,2025-12-08,2025-12-10,2025-12-15,10,1062.0,14,655.37,https://www.sebi.gov.in/filings/public-issues/may-2025/corona-remedies-limited_93856.html,14,0,0,0,0,0,0.0,0.84,0.96,1.76,28.37,6.9,293.8,220.18,30.39,https://www.investorgain.com/chr-gmp/corona-remedies-ipo/2433,2025-12-02,0.0,2025-12-03,307.0,2025-12-04,365.0,2025-12-05,365.0,2025-12-06,305.0,2025-12-07,290.0,2025-12-08,262.0,2025-12-09,270.0,2025-12-10,295.0,2025-12-11,291.0,2025-12-12,330.0,2025-12-13,295.0,2025-12-14,342.5,2025-12-15,342.5,,,,,,,https://www.screener.in/company/CORONA/consolidated,Corona Remedies Ltd,,https://www.bseindia.com/stock-share-price/corona-remedies-ltd/CORONA/544644/,CORONA,https://www.nseindia.com/get-quotes/equity?symbol=CORONA,CORONA,1452.0
Wakefit Innovations Limited,https://www.chittorgarh.com/ipo/wakefit-innovations-ipo/2488/,EQ,2025-12-08,2025-12-10,2025-12-15,1,195.0,76,1288.89,https://www.sebi.gov.in/filings/public-issues/jul-2025/wakefit-innovations-limited_94933.html,7,2,1,0,0,0,0.0,0.07,0.77,0.0,0.25,1.82,3.04,1.05,3.17,https://www.investorgain.com/chr-gmp/wakefit-innovations-ipo/2488,2025-11-30,0.0,2025-12-01,0.0,2025-12-02,36.0,2025-12-03,36.0,2025-12-04,36.0,2025-12-05,36.0,2025-12-06,36.0,2025-12-07,36.0,2025-12-08,5.0,2025-12-09,2.0,2025-12-10,0.0,2025-12-11,0.0,2025-12-12,4.0,2025-12-13,7.0,2025-12-14,4.0,2025-12-15,4.0,,,https://www.screener.in/company/WAKEFIT,Wakefit Innovations Ltd,,https://www.bseindia.com/stock-share-price/wakefit-innovations-ltd/WAKEFIT/544642/,WAKEFIT,https://www.nseindia.com/get-quotes/equity?symbol=WAKEFIT,WAKEFIT,194.1
Vidya Wires Limited,https://www.chittorgarh.com/ipo/vidya-wires-ipo/2005/,EQ,2025-12-03,2025-12-05,2025-12-10,1,52.0,288,300.01,https://www.sebi.gov.in/filings/public-issues/jan-2025/vidya-wires-limited_90835.html,13,0,0,0,0,0,0.51,3.71,4.43,1.39,10.8,12.45,5.45,55.94,29.98,https://www.investorgain.com/chr-gmp/vidya-wires-ipo/2005,2025-11-28,8.0,2025-11-29,10.0,2025-11-30,10.0,2025-12-01,6.0,2025-12-02,6.0,2025-12-03,5.0,2025-12-04,5.5,2025-12-05,3.0,2025-12-06,3.0,2025-12-07,4.0,2025-12-08,4.0,2025-12-09,3.5,2025-12-10,3.5,,,,,,,,,https://www.screener.in/company/VIDYAWIRES,Vidya Wires Ltd,,https://www.bseindia.com/stock-share-price/vidya-wires-ltd/VIDYAWIRES/544633/,VIDYAWIRES,https://www.nseindia.com/get-quotes/equity?symbol=VIDYAWIRES,VIDYAWIRES,52.13
Aequs Limited,https://www.chittorgarh.com/ipo/aequs-ipo/2465/,EQ,2025-12-03,2025-12-05,2025-12-10,10,124.0,120,921.81,https://www.sebi.gov.in/filings/public-issues/oct-2025/aequs-limited-udrhp-1_97000.html,15,0,0,1,0,0,0.68,3.55,12.16,0.75,17.5,34.57,122.93,83.61,81.03,https://www.investorgain.com/chr-gmp/aequs-ipo/2465,2025-11-27,18.0,2025-11-28,40.0,2025-11-29,43.0,2025-11-30,43.5,2025-12-01,44.5,2025-12-02,46.5,2025-12-03,45.5,2025-12-04,41.0,2025-12-05,43.0,2025-12-06,39.0,2025-12-07,37.0,2025-12-08,34.0,2025-12-09,31.0,2025-12-10,24.0,,,,,,,https://www.screener.in/company/AEQUS/consolidated,Aequs Ltd,,https://www.bseindia.com/stock-share-price/aequs-ltd/AEQUS/544634/,AEQUS,https://www.nseindia.com/get-quotes/equity?symbol=AEQUS,AEQUS,140.0
Meesho Limited,https://www.chittorgarh.com/ipo/meesho-ipo/2516/,EQ,2025-12-03,2025-12-05,2025-12-10,1,111.0,135,5421.2,https://www.sebi.gov.in/filings/public-issues/oct-2025/meesho-limited-udrhp_97453.html,10,0,1,7,3,0,2.18,1.9,4.13,7.15,9.63,9.65,123.34,39.85,19.89,https://www.investorgain.com/chr-gmp/meesho-ipo/2516,2025-11-27,33.0,2025-11-28,36.0,2025-11-29,40.0,2025-11-30,42.0,2025-12-01,46.5,2025-12-02,49.0,2025-12-03,45.0,2025-12-04,49.5,2025-12-05,46.5,2025-12-06,42.5,2025-12-07,42.0,2025-12-08,39.0,2025-12-09,36.0,2025-12-10,42.0,,,,,,,https://www.screener.in/company/MEESHO,Meesho Ltd,,https://www.bseindia.com/stock-share-price/meesho-ltd/MEESHO/544632/,MEESHO,https://www.nseindia.com/get-quotes/equity?symbol=MEESHO,MEESHO,161.2
